AUTHOR|TITLE|GRADE|NOTE
Johnny|Paradise Last|C+|
Jon|4 Towers|OUTDATED|see StaticRomantic level of same name in future review
Jon|Quarantine|OUTDATED|see StaticRomantic level of same name in future review
Jon|Sahara|OUTDATED|see StaticRomantic level of same name in future review
Jonas|Techno run|Cc|
Jonas|Beyond worlds beta|N/A|beta
Jonolio|Into the Worm's Lair|Bb|
Jonolio|The Banks|N/A|unfinished, great meta elements
Jonolio|Into the Worms Lair|OUTDATED|
Jonolio|Into the Worms Lair 1.2|OUTDATED|
Joseph|Shadowland|Cc|
Joseph|Garlagna 2|D|
Joseph|Garflagna|D|
Joseph marshall|joey domain 2|D|
joseph marshall|joseph Domain|D|
Joseph Staleknight|A Level of Sorts|N/A|can't complete
Josh|SixJ|D|
Joshi|bloxland 2|D|
joshi|go run|D|
joshi|ruby run|D|
Joshi|The world i drawed|D|
Joshua Green (Roshajosh)|Plotless|C+|mechanic: door color change via teleporter, multiple endings
Joshworx|Wasteland|D|
JP|Juni s Adventures in Wonderland|N/A|can't progress
Judas|Dark Wood|Cc|
Judas|Stairway to Hell|Cc|czech dialogue
Judas|Nejlepsi story|D|
Judas|Invasion [eng]|D|
Judas|Pomsta|D|czech dialogue
Judas|Invaze [cze]|N/A|czech version of level
Juni|KS Online Lobby V2 FIX|N/A|demo for KS online lobby
Juni|KS Online Lobby V2|OUTDATED|
Juni in the Juni|Verse of Madness|N/A|can't figure out how to progress
Juni's milk journey|FirecaT|Cc|
Junior|Lost Diamond (PL)|Cc|polish, nice quick-travel mechanic
Junior|Sen|Cc|polish
Junior|Strange World (PL)|Cc|polish
Junior|Ninja Test (PL)|D|polish
JustcallmeDavner|Whose Pickles Are They|N/A|can't progress
K|K's world|D|
K|Ksworld|OUTDATED|
k o|journey|D|
k o [empty]|ourney|OUTDATED|
Kahsel|CRYB|C+|concept: toggle walkable block color
Kahsel|The Deep|Cc|
Kai|Ninja|D|
Kai|Ninja Level 2 Final Fix (Really)|D|
Kai|Ninja Level 4|D|
Kai|Ninja Level 2|OUTDATED|
Kai|Ninja Level 2 Fixed|OUTDATED|
Kai|Ninja Level 2 Fixed AGAIN|OUTDATED|
Kaila P.|Sky castle(finaly perfected sorry about all of them)|D|
Kaila P.|the mysterious dungeon|N/A|cannot download 'possible exploit'
Kaila P.|sky castle (perfected)|OUTDATED|
Kaila P.|The sky castle|OUTDATED|
Kaila P.|the sky castle|OUTDATED|
Kaila P. [empty]|aila P. the sky castle (perfected)|OUTDATED|
Kaizoman|Super Knytt World|Cc|overworld mechanic
Kaizoman|The Spread of Evil|D|
Kalm Traveller|To Travel so Far|D|maze-y, softlocked
Kana|Vjezbanka|D|croatian, +1 for having a minimap
Karl|The Cloning Machine|D|
Karl|Redgrass|D|had to wall swim to finish
karl|Karls level 1|D|
Kasran|Starwalk|Bb|
Katrtlen|Magic Key|Cc|boss fight
Katrtlen|Teleport Orb|D|
Katrtlen|1000 years|D|
Kaworu|Mechanic (fix'd)|D|
Kaworu|The Ninja Quest(UNFINISHED) FIX'D|N/A|unfinished
Kaworu|Mechanic|OUTDATED|
Kaworu|The Ninja Quest(UNFINISHED)|OUTDATED|
Kazus|Parkour|C+|good for practicing jumps
Kazus|Parkour but mirrored|C+|good for practicing jumps
KC Tovera|Level Design|D|
keith|tests|N/A|links to 'A Strange Dream' (Nifflas)
keith and googoogjoob|Candeh 2 The Boogerman|N/A|links to 'A Strange Dream' (Nifflas)
keith And Icy|Windows 95 Meets Juni|N/A|links to 'A Strange Dream' (Nifflas)
keith And Tuta|Bee Nest 2 The Lost House|N/A|links to 'A Strange Dream' (Nifflas)
kenji|test1|D|
KennySheep|Tower of Babel|Cc|
KenoguLabz|Rainfall|Cc|
Kent Mudle|Monothith|Bb|
Kev|Kev - My first Level|D|
Kev Kev|Hard|D|
kevin M|Uru Ahnonay2|N/A|unfinished, concept: myst inspired puzzle, some parts unintuitive
KG|The Hive v2|C+|maze-y
KG|Teenhmifnoeafgil|Cc|I like the weirdness, but not the barren screens/mazes
KG|SYDE 1 beta|Cc|too maze-y for my taste
KG|Too much Soda|Cc|may have multiple endings? my playthrough wasn't great
KG|In Bed Beta|D|
KG|SYDE 1 beta (No music)|N/A|music-less version of SYDE 1 beta
kharms|Coquelicot's Tea Party|C+|almost no story but fantastic title card art, multiple endings
Kilo71|First Level|N/A|unfinished
Kimi|Final Fantasy|Cc|
kinker|Here We go|Cc|
kintendo|Knytt Mansion(Fixed version)|Cc|
kintendo|Knytt Mansion|OUTDATED|
Kira|Looking for Flynnas|C+|interesting puzzle elements
Kira|system failure|C+|   
Kira|Not Poetic At All|Cc|
Kirby|Yayz|F|
Kitty|Level TEST|N/A|demo
Klamrisk|Room Ov Death|Bb|
klamrisk|ThrowbackTheGamev2|C+|
Klamrisk|FindHome|C+|I'm not sure what I just played...
Klamrisk|Land Of Legends|C+|sequel to 'Teh Werld'
Klamrisk|Teh Werld|C+|short-ish prologue, world currently feels pretty empty
Klamrisk|The Escape|C+|
Klamrisk|TreasureHuntUpDate|C+|nice little 'choose your own adventure'
Klamrisk|THE Cave v 1.1|Cc|maze
Klamrisk|Underbart|Cc|really short
Klamrisk|Room Ov Death v1.1|OUTDATED|
Klamrisk|Transition 1, 4 and 5|OUTDATED|
Klamrisk|Tsymelia Prologue|OUTDATED|see 'Teh Werld'
Klämrisk|The Escape|Cc|
Klämrisk|Transition 1, 4 and 5|N/A|screens for community level
Klämrisk|THE Cave|OUTDATED|
Klämrisk|THE Cave v 1.1|OUTDATED|
Klämrisk|Transition 1 and 4|OUTDATED|
klop|The Updown Journey|Cc|maze-y cyrillic
Klyx|Echo voice|Cc|
Klyx|Contemptment|D|
Klyx|The Room|D|
Knytt|US Yellow Submarine|Cc|
Knytt|Unknown Story|Cc|
knytt|anne|D|
knytt|mix up|D|
Knytt Masochism|Dale|OUTDATED|see 'Dale' (I wanna be the Knytt)
Knytt Stories|Gustavs Daughter|N/A|see 'Gustav's Daughter (Nifflas) in future review
Knytt Yeah|My movements|F|
Knytt Yeah|New Juni|N/A|concept: character creator 
KnyttFan1|Cave v1.0|D|maze-y
KnyttFan1|Cave|OUTDATED|
KnyttFan1|Cave Fix|OUTDATED|
Knyttster|Untitled|N/A|can't complete
Kohdi|Riku Island (Final)|B+|
Kohdi|Clockwork v1 5|C+|great art but more of a demo
Kohdi|Leafdown Islands|Cc|
Kohdi|Return to Riku Island|N/A|appears to be unfinished, otherwise B
Kohdi|Clockwork|OUTDATED|
Kohdi|Riku Island|OUTDATED|
Kohdi|Riku Island 4.0|OUTDATED|
Koindrok|Where Did My Love Go|D|
Koji Otaku|Sleepy Forest|Cc|
Kristjan|The Black Tower|N/A|unfinished
Krumel|Illiris v101|Cc|hunting for keys can be tedious 
Krumel|Illiris|OUTDATED|
KS Level Tutorials|tutorial|D|
Kuba|Dupa|F|
Kyodo|Don't Stop Running|Bb|great title card art
Kyodo|Cubed (bug fix)|N/A|demo
Kyodo|Cubed|OUTDATED|
Labbal|Seconds|Cc|
Labbal|Ghostly|D|
lamb|Mazelenge|Cc|maze-y
lamb|Scary Maze|D|jumpscare
lammet|small challenge demo v2|N/A|unfinished             
lammet|small challenge demo|OUTDATED|
Lary144|A Quagmire of Awkwardness|Cc|
Lary144|Into the Cosmos|D|
LB|WaterWorld|D|
LCCR|Coutry Life|D|
Legend Bird|The Wormhole|D|
Lemm|Mount Ererest|D|polish
LemonFavoured|Dead Hotel|D|
LeNDex|Letters|Cc|
Leno|Tutorial FR|Cc|tutorial (but in french)
LeonScirra|mayapreview|N/A|demo, nice visual effect
Level 1|cheifmaster|D|
Lewis Wolke|THE REAL BIRCH FOREST|OUTDATED|
LewisWolke|The Harsh Winter|Bb|
LewisWolke|Knytt Forest|N/A|demo
LewisWolke|The Birch Forest|N/A|demo
LewisWolke|Birch Forest|OUTDATED|
Liam|The Field|D|
LightningEagle|Abduction - v1.1|D|
LightningEagle|Out of Place|N/A|tileset demo
lightningeagle|test - elemental|N/A|animation demo
LightningEagle|Abduction|OUTDATED|
Lime|The Egyptian Terrorist|F|
Lime Cultivist|Exo Figure|Cc|collab level
LimeLemon|The mysterious pink land|D|
LimeLemon|Knytt Shop|N/A|great puzzle but no win condition?
Lingon|Find the bug|C+|puzzle
Lingon|Insomnia|N/A|unfinished, amazing art
Lingon|Lost-Beta|N/A|demo
Link|Legend of zelda|D|
Link|Legend of zelda(DEMO)|OUTDATED|
Linus|As I closed my eyes|Bb|tricky jumps
Lit Knob|Knytt Nano v2|C+|great recreation, just lacks gameplay like the original
Lit Knob|Knytt Nano|OUTDATED|
Literal Garbage|Name=The Machine|D|
Little Pineapple|Color Coordination|Cc|
Little Pineapple|Retrieval|D|
local player|i do not understand|D|
LoL Zergling|LoL|OUTDATED|
LoL Zergling Final|LoL|D|
lollerobot|Infastructure|D|
LOLmaster|The wasteland1|D|
LOLmaster|The wasteland|OUTDATED|
lopsidation|puzzle[1][1]|C+|a few parts are janky but some good ideas
lopsidation|explore|Cc|
LordMarzog|Prologue|Bb|prologue but great story so far (portal-esque)
LordMarzog|No idea|C+|
LordMarzog|The Simple Hike|Cc|
LordMarzog|Run the Gauntlet-Part 1 v1.1|N/A|cannot unpack file
LordMarzog|Prologue v1.1|OUTDATED|
LordMarzog|Run the Gauntlet Prologue|OUTDATED|
LordMarzog|Run the Gauntlet-Part1|OUTDATED|
LordMarzog|The Cursed City|OUTDATED|
LordMarzog|The Cursed City v1.1|OUTDATED|see 'No idea'
LPChip|Learning to Jump|Bb|straightforward jumping challenge, great for new players
LPChip|The unknown|Bb|great concept (background color affects standable tiles) but short 
LPChip|The Explore Challenge|C+|some screens feel like guesswork
Lucinda|Iasthai v2|A|"a rollercoaster of emotions" - see nifflas level post for full review
Lucinda|Vleindergurk v2|B+|multiple endings,  don't eat the mushroom go to Vleindergurk
Lucinda|Shalev v2|Bb|superb worldbuilding, some backtracking
Lucinda|Shalev|OUTDATED|
Lucinda|Vleindergurk|OUTDATED|
Lucinda and Robin|Ride the Train to Beck|C+|multiple endings
Lucxs|Rxmxmbxr mx|F|
Luke Kim|A Normal Day|Cc|
LukeMega|Expanse|N/A|unfinished
Lvl100Magikarp|Deluxe 1screen v1.2|C+|one screen puzzle, straightforward
Lvl100Magikarp|Frosty Magma|C+|
Lvl100Magikarp|Up Up and Away|Cc|
Lvl100Magikarp|Witchified v. 1.1|Cc|
Lvl100Magikarp|Deluxe 1screen|OUTDATED|
Lvl100Magikarp|Deluxe 1screen v1.1|OUTDATED|
Lvl100Magikarp|Witchified|OUTDATED|
Mack|Giga's Hell|D|
Mad Man|The shape islands|D|
Mad Man|Lab 01|D|
Mad Man|Thorn vs knytts|D|
Maltar Draco|Whats going on|D|
Maltar Draco|Whats going on 1.1|N/A|can't download (possible exploit) so played v 1.0
ManAndGun|A Break From Monotony|Cc|
MAQUA|Knutt stories|Cc|
Marie|Ohniva vila|D|czech
MARIO24|Machine rush part 1(Fixed)|D|
MARIO24|Machine rush|OUTDATED|
MARIO24|Machine rush 1.2|OUTDATED|
MARIO24|Machine rush part 1|OUTDATED|
MARIO24|Machine rush V 1.1|OUTDATED|
MARIO24|Machine rush V.1|OUTDATED|
Mark|Search the Bellos|Cc|
Mark|Way to Boville|Cc|
Mark|On my way Final v.2|Cc|
Mark|Let it Snow Bug fixed|D|nice visuals for the ice, no real gameplay
Mark|Way to Disk World|D|
Mark|Jurassic Park Very Early BETA|N/A|unfinished
Mark|Summer with the Indians|N/A|unfinished
Mark|Let it Snow|OUTDATED|
Mark|On my way|OUTDATED|
Mark|On my way Final|OUTDATED|
Mark|On my wayV.3|OUTDATED|
Mark|On my wayV.3B|OUTDATED|
Markavian|Dust Bowl|N/A|unfinished
MartinD|The Great Escape|C+|
Maruku|Exploration|D|
masonjmj|can you escape|D|
Masta B|Masta B's Hood.knytt2|N/A|tileset showcase
Masta B|Masta B's Hood|OUTDATED|
Master Of Platformers|Bubbles|D|
MasterF|AwesomeV2.0(fixed)|Cc|
MasterF|Knytt Museum|Cc|
MasterF|Awesome|OUTDATED|
MasterF|AwesomeV2.0|OUTDATED|
Mat|L'avventura v0.5|N/A|unfinished
Mateus Dalmedico Gessoni|Tower of Babylon|C+|very hard jumps, good for practice
Matikz|The Ruins|F|
MatMajister|Melancholia of the Siren|D|
Matt|Island|Cc|
Matt|Rainv2|Cc|
Matt|WHOA(FIXED)|D|
Matt|La-Mulana|N/A|tileset showcase
Matt|Shift|N/A|demo
Matt|Rain|OUTDATED|
Matt|WHOA|OUTDATED|
MCSuire|The Great Labyrinth|C+|maze-y
me|Test2|Cc|
me|the two towers|Cc|
Me|Under a Black Sky|Cc|
Me|Juni's New Adventure|D|
me|don't ply this 2|D|
me|dont play this|D|
Me|First Try|D|
me|Impossible|D|
me|quest for help|D|
me|test (Dawson)|D|
me|blahess|F|
me|level|F|
Me|Test|F|
me|test level|F|
Me|Jack and the Bean Stalk V2(unfinished)|N/A|demo
me|loop|N/A|animation test
me|this is a test|N/A|demo
Me|Jack and the Bean Stalk|OUTDATED|
Me Zack|My Level 6 the Final one|D|
Me Zack|Revenge Of The Emporor|D|
Medic|Ted -A Psychedelic Adventure|OUTDATED|see 'A Psychedelic Adventure Ver 1.1'
Medic Ted|A Psychedelic Adventure Ver 1.1|Bb|exploration heavy, but great atmosphere 
Medic Ted|LG-28(new)|Bb|knytt (classic) esque
Medic Ted|The Brown LandsBETA|N/A|maze-y
Medic Ted|LG-28|OUTDATED|
Meep|2 Screenz|F|
Meep|Planets(Icon fix)|N/A|demo
Meep|Planets|OUTDATED|
MegaGameboy101|Mini Game 1|D|
MelodiousNature|The Hole|D|
Meloneta|Puffle|OUTDATED|
Melonetta|Puffle - Final Version|D|
Melonetta|Puffle|OUTDATED|
MelvnDD|Ruined Day For us Both|C+|
Melvon|Hard Touhou Level|Cc|
Melvon|How Far Can You Go|Cc|
Melvon|tutorial|Cc|
Melvon|Forest Library|D|
Melvon|Over 9000 Steps!!!|F|
MelvonDD|Divine Holy Platformer|Bb|retro-esque platformer
MelvonDD|Invisable Coin|Bb|simple, stylized platforming
MelvonDD|Lost in Your World|C+|
MelvonDD|Speed Judgement Factory|C+|
MelvonDD|Another Undefined Space|Cc|
MelvonDD|Ending Amazing Waterfall'|Cc|
MelvonDD|Forgotten Mountain|Cc|maze-y
MelvonDD|In The Hornet Hole|Cc|
MelvonDD|Overrated Favor|Cc|
MelvonDD|Soaring Star Reverie|Cc|
MelvonDD|Dodge the Bullet 'Horizo'|D|for fans of bullet hell 
MelvonDD|Dodge the Bullet 'Vertic'|D|for fans of bullet hell
MelvonDD|Do Not Play|D|
MelvonDD|DtB Danmaku Practice|D|
MelvonDD|Test|D|
MelvonDD|Midnight Funtime - Copy|N/A|unfinished
Meow Tse Tongue|3D Quest|N/A|showcase, concept: photorealistic background
Meowww|TehLab|D|
Meowww|Cat v1.2|D|
Meowww|awesum|N/A|unfinished
Meowww|Cat 2|OUTDATED|
Michael|The Elders' Request|N/A|unfinished
Micro|Phonies - Sensoria|F|
mike|lost|N/A|unfinished?
Milkman|will you ever|C+|
milkmeat|stomach juice|C+|
Milosh|Psychedelic Adventure|Cc|
Milosh|Speed Up-fixed|Cc|
Milosh|Pararealita|D|
Milosh|Speed Up|OUTDATED|
Miloshit|Frustation|Cc|NSFW
Miloshit|Tha Beepa|D|
Miloshit|Parareality|OUTDATED|
Mimiga|Escape the Cube|OUTDATED|see 'bunnrey' level of same name in previous review
Mink Car|I've Got a Fang|D|
minmay|JUNI IS LOST|Cc|C for environmental version, D for challenge version
minmay|Free Kitty|Cc|
minmay|Random Shift Example|N/A|demo of pseudo-random teleporter output
Miragent|[255]|N/A|showcase of 255 default tilesets
Mirror Sound|Juni's Great Adventures 1|N/A|
Mirror Sound|Juni's Great Adventures 2 (Prev)|N/A|beta
Mirror Sound|Juni's Great Adventures 1 (Playable Beta V2.0)|OUTDATED|beta
Mirror Sound|Juni's Great Adventures 1 (Preview)|OUTDATED|
Misaki|Fairy Tail|D|
Miscellaneous T|Hello Radio|Cc|satirical
Mishka|Nights1.2|N/A|can't progress
Mishka|Nights|OUTDATED|
Mishka|Nights1.1|OUTDATED|
MISTER MONEKEY|My first level YAY|D|
MisterKerr|Pitfall II Redux KSPlus|Cc|fans of the original game may rate higher
MisterKerr|Pitfall II KSPlus|OUTDATED|
Mitch Fletcher|Swept Away|D|
mnm|magnus v.1.2 - 2|C+|good aspects but tedious
Momruoy|Infestation v1.1|C+|
Momruoy|Infestation|OUTDATED|
Monty|XperiencD playrs only|Cc|
Monty|TheCaveFINAL|N/A|links to Klämrisk level
Monty|Transition 2 and 3 (open w editior)|N/A|community level contribution
Monty|Utmaningen|N/A|see The Escape (Klämrisk)
Monty|The Escape|OUTDATED|see 'Utmaningen'
Monty|Transition|OUTDATED|
Monty|Transition 2|OUTDATED|
Morgrim|Cesta za kvetinou|Cc|slovakian
Morgrim|Na ceste na rockovy koncert|Cc|slovakian
Mr Affu|City sewers|C+|no win condition? good puzzles so far
Mr Affu|Strange waters|C+|
Mr Affu|The lava caverns|C+|
Mr Affu|pipes and problems beta 0.4|N/A|beta
Mr Affu|An Affutastic challenge.v0.9|OUTDATED|see 'The lava caverns'
Mr Affu|journey|OUTDATED|see 'Strange waters'
Mr Affu|lavacaves|OUTDATED|see 'The lava caverns'
Mr Affu|pipes and problems beta 0.1|OUTDATED|
Mr Affu|pipes and problems beta 0.2|OUTDATED|
Mr Affu|pipes and problems beta 0.3|OUTDATED|
Mr Amazing|Lost On a island|D|
Mr Amazing|Hey a Snowman!|N/A|vignette, funny
Mr Li|Marble Challenge I|Cc|concept: connect 3 minigame, but confusing
Mr Macduggan|The Hairy Orange Cave|N/A|demo of tileset
Mr Monkey|The Seventh Happy Fun|D|one screen puzzle
MrFlames664|The Journey Part I|Cc|
mrhthepie|Spectra|Cc|
mrhthepie|gone minin|D|maze-y
mrhthepie|Timeless Forest|N/A|default tileset demo, no gameplay
MrKelly|The Sky's Falling v1.1|D|
MrKelly|The Sky's Falling|OUTDATED|
MrMario3691|Impossible|D|
MrMario3691|1st world beta|D|
MrMario3691|My First Level|OUTDATED|see '1st world beta'
MrTee|muchfarther|N/A|unfinished
MrTee|Synaesthesia(beta)|OUTDATED|
MrTee|Synaesthesia87|OUTDATED|
MrTee|Synaesthesiabeta|OUTDATED|
MrTee|Synaesthesiabeta1|OUTDATED|
MrTee|Synaesthesiabetahopethisworks|OUTDATED|
MrTee|Synaesthesiahalfway|OUTDATED|see 'muchfarther'
MrTee|Turmoil|OUTDATED|
MrTee|Turmoilv1|OUTDATED|see 'muchfarther'
munchybot|Pool Party|Cc|concept: wall swim platformer
My First Level|Ornuth|N/A|title and author switched, see 'Ornuth' in future review
MyClam|Reason|N/A|mechanic: optional in-game tutorial, can't progress
myne33|1st level|D|
myne33|crazy|D|
myne33|i like cheese|D|
myne33|the lab|D|
Mystery Wolf|Evil computer OF DOOM V2|C+|concept: inside computer, key hunting can be tedious
Mystery Wolf|The Dark Castle|C+|
Mystery Wolf|Level of Mystery|Cc|
Mystery Wolf|Insane|N/A|too difficult to complete
Mystery Wolf|MW's 'Unbeatable' V3|N/A|too difficult to complete
Mystery Wolf|MW's 'Unbeatable' Level|OUTDATED|
Mystery Wolf|MW's 'Unbeatable' Level V2|OUTDATED|
Mystery Wolf|Unbeatable' Level - No 2nd Chances|OUTDATED|
Mystery Wolf|Unbeatable' Level - No 2nd Chances V2|OUTDATED|
MysteryIsland|RelicShine|N/A|author and level name switched, see future review (Author = R)
[AUTHOR]|[TITLE]|[RATING]|[OTHER NOTES]
Nachtom|Legend about Second town v1.1 [eng v2.0]|Cc|mechanic: bonus levels
Nachtom|The Dark witch v.2.0|Cc|
Nachtom|Temna carodejnice|N/A|czech version of The Dark Witch
Nachtom|Legenda o druhem meste [cze]|N/A|czech version, see 'Legend about Second town'
Nachtom|Legend about second town - translate-v.1.5|OUTDATED|
Nachtom|The Dark witch|OUTDATED|
Nachtom|The Dark witch v.1.1|OUTDATED|
Names|knytt snow level|C+|concept: blizzard
Napalm|Das Darkwo|D|
Nayon|Alone|Cc|kaizo-esque, very hard
ncrecc|Reduction v3|B+|fantastic puzzles (very hard)
ncrecc|9 Boring Levels Version One Zero Two|C+|nice meta elements
ncrecc|Trail update 2|C+|
ncrecc|Don Screen Puzzle|Cc|one jump to win
ncrecc|Carriage Return Line Feed|Cc|
ncrecc|Temple of Gloom Extension|N/A|unfinished
ncrecc|The Machine|N/A|see 'The Machine' by Nifflas
ncrecc|Reduction|OUTDATED|
ncrecc|Reduction v2|OUTDATED|
ncrecc|9 Boring Levels|OUTDATED|
ncrecc|9 Boring Levels Version One Zero One|OUTDATED|
ncrecc|Temple of Gloom Extension (INCOMPLETE)|OUTDATED|
ncrecc|Trail|OUTDATED|
ncrecc|Trail 1.1|OUTDATED|
ncrecc|Trail update|OUTDATED|
ncrecc & ixMarcel|Nectar|Bb|concept: no saves
Neil|The wonderland|D|
Nekoshii|An awesome world(betabeta)|N/A|unfinished, beta
Nekoshii|HIDDEN(Beta)|N/A|unfinished, beta
Nekoshii|An awesome world(beta)|OUTDATED|
Nekoshii|HIDDEN|OUTDATED|
Nekoshii|An awesome world|OUTDATED|
Nerunos|La Mulana Alpha|N/A|unfinished
NESgamer|The lab of cliche(Full debug version)|C+|boss fight
NESgamer|Bio station|Cc|
NESgamer|NES obstacle course 3|Cc|
NESgamer|NES's obstacle course 1|Cc|
NESgamer|NES's obstacle course 2|Cc|
NESgamer|the mansion|D|
NESgamer|Inside the NES|D|
NESgamer|The lab of cliche|OUTDATED|
Neuro|The Cherry Blossom Quest|Cc|
Nex|BooM|D|
niamorf|world|D|
niamorf|optimal world|D|lags on purpose
niamorf|lost planet|D|
niamorf|meca world|D|
Nick|Nature Walk v3|Bb|confusing ending
Nick|multiverse|Cc|
Nick|Nature Walk|OUTDATED|
Nick|Nature Walk v2.1|OUTDATED|
Nick|Nature Walk v2|OUTDATED|
Nick Makridis|TheDream|D|
Nifflas|This Level is Unfinished|A|concept: hand-drawn world
Nifflas|Sky Flowerz|A|
Nifflas|An Underwater Adventure|A|
Nifflas|A Strange Dream|A|
Nifflas|Gustav's Daughter|B+|concept: sub stages
Nifflas|The Machine|Bb|
Nifflas|Tutorial|N/A|classic
Nifflas|The Machine pirated|N/A|funny!
Nifflas [Empty]|A Strange Dream 50GC edition|A|50GC version of A Strange Dream
Nifflas [Empty]|Sky Flower 50GC edition|A|50GC version of Sky Flowerz
Nifflas & rrc2soft|Tutorial DS|N/A|tutorial for KS DS, same as original tutorial
Nifflas and X Sheep|Advanced Features|N/A|tutorial for advanced features
Nifforum|LPChip Hooray Fun Time|A|
Nifforum|For egomassive 1.1|A|so charming
Nifforum|EndlessWinter|B+|not consistant quality but overall fantastic
Nifforum|Something with snow v2|N/A|unfinished, used in EndlessWinter
Nifforum|For egomassive|OUTDATED|
Nik The B|Weird 2|Cc|
Nik The B|Weird|Cc|
Ninjo|The Beehive|Cc|
Nintendomaster|A simple task|C+|multiple endings
Nintendomaster|Tutorial caveV2|Cc|tutorial level
Nintendomaster|Tutorial cave|OUTDATED|
Nizvable|A Friend In Need|D|
noah|The rain forest|Cc|
noauthor|noname|D|
Noi|Etherworld 3|Bb|trilogy, concept: visiting memories
Noi [Empty]|oi Etherworld II|Bb|trilogy, great 'time' puzzle
Noi [Empty]|oi Etherworld|Bb|trilogy
None|CoCo|N/A|unfinished
Nort|Dust in the Wind1.2|Cc|
NRA13|The Relic Hunt 2|C+|concept: subworlds
NRA13|The Relic Hunt|D|
Numberplay|Christmas Present|Cc|
Numberplay|Junglish example level|N/A|tileset showcase
Numberplay|A Hero's Tale 'cave'|N/A|unfinished
Obsy|It began with a dream Beta V0.55|N/A|unfinished, great so far
Obsy|It began with a dream Beta V0.2|OUTDATED|
Obsy|It began with a dream Beta V0.3|OUTDATED|
Obsy|It began with a dream Beta V0.35|OUTDATED|
Obsy|It began with a dream Beta V0.4|OUTDATED|
Obsy|It began with a dream Beta V0.5|OUTDATED|
Oft99|Behind the ScienceBV1|Bb|
Ogrewithstick|TheSecretOfMagic Mountain|C+|
Ohiohi|The little bonus room Final|C+|one screen puzzle
Ohiohi|The little bonus room1.2|OUTDATED|
Ohiohi|The little bonus roomV1.2|OUTDATED|
Ohiohi|The little bonus roomV1.1|OUTDATED|
Ohiohi|The little bonus room|OUTDATED|
Oksana and Vinayak|Going home|Cc|
oliver nordon|the runners|C+|
Omni|Sky ScrambleV1.1|C+|hard, nice jumping challenges
Omni|Freedom V5.2|C+|
Omni|Path of Anguish V1.1|C+|
Omni|The UnknownV3|Cc|very hard
Omni|The UnknownV1|OUTDATED|
Omni|The UnknownV2|OUTDATED|
Omni|Freedom|OUTDATED|
Omni|Freedom V2|OUTDATED|
Omni|Freedom V3.1|OUTDATED|
Omni|Freedom V3.2|OUTDATED|
Omni|Freedom V4|OUTDATED|
Omni|Freedom V5|OUTDATED|
Omni|Freedom V5.1|OUTDATED|
Omni|FreedomV3|OUTDATED|
Omni|Path of Anguish V1|OUTDATED|
Omni|Sky ScrambleV1|OUTDATED|
Ondras|Broken Pipe [eng]|Cc|
Ondras|Broken Pipe [cze]|N/A|czech version of level
Onematty|Nightmare|Cc|
OnniHopeDream|Under A Glass Moon|B+|great challenges, very hard
Orange|Neon Rock Part 1 The Truth (Revision 1)|Cc|can miss run powerup
Orange|Neon Rock Part 2 Theives|Cc|
OrangeD|Flashlight|C+|maze-like but nice puzzle
ORCS|Bass|F|
Orion|Walk Version 3|C+|maze-like
Orion|Walk Version 2|OUTDATED|
Ornuth|My First Level|D|
Oskop|Oriante|C+|
Oskop|Ayo (Fixed)|D|
Oskop|Ayo|OUTDATED|
Otter|Experiment|D|
override isn't|Hide patrolled edits|Cc|
OWS|The World has changed FIXED.2|Cc|
OWS|The World has changed|OUTDATED|
OWS|The World has changed FIXED|OUTDATED|
ozz|Realms of the Pharaoh v1.1|A|
ozz|Realms of the Pharaoh|OUTDATED|
PaintBox|One Of These Days|Cc|
PaintBox|A New Machine(Slightly Better Version)|Cc|
PaintBox|A New Machine|OUTDATED|
PaintBox|A New Machine Part 1|OUTDATED|
Pale Imitation|The Healer (GFfix) v1.0.3|C+|
Pale Imitation|The Healer (GFfix) v1.0.1|OUTDATED|
PaleImitation|TheHealer|OUTDATED|
PaleImitation|TheHealerLow|OUTDATED|
Papy|Miaow|Cc|
Parthon|Glitch|Cc|concept: in a simulation
Paula|Shoddy shabby v2|D|
Paula|Shoddy shabby|OUTDATED|
Pawelkova|World 1|Cc|
Pearl|Raining|Cc|
Pearl|Juni's adventure|Cc|
Pearl|Moonlight cove|Cc|
Pearl|Moonlight woods|Cc|
Pearl|Summer and winter|D|
Pentavo Mapmaker|An Evening Stroll v4|N/A|
Pentavo Mapmaker|An Evening Stroll v3|OUTDATED|
Pentavo Mapmaker|An Evening Stroll|OUTDATED|
Pentavo Mapmaker|An Evening Stroll v2|OUTDATED|
Pepesajicraft|qurtee|D|
PeppyHare4000|Salvation V2|Bb|great title cards and challenges, would be 'A' without backtracking
PeppyHare4000|The Ventilation Shaft|C+|
PeppyHare4000|Within the Treetops|Cc|
PeppyHare4000|The ascent to death|D|
PeppyHare4000|The descent to hell DemoV1|N/A|demo
PeppyHare4000|Salvation|OUTDATED|
person|quickman's stage|D|
person|l|D|
Pesty|Creepy Dinosaurs|Cc|
pesty|shootforthemoon|D|
Peter|May|Cc|
Petera|Dusk to Dawn v.1.0 (my first level)|F|
Petit Gibier [Empty]|oY I|C+|concept: detective
pfrangip|The Snow Day(v2)|C+|peaceful
pfrangip|Hinterland|C+|
pfrangip|The Five Minute Hallway v2|C+|maze-like
pfrangip|Miss Pixel!|C+|wario world esque minigames
